Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Vitamin C 150 Forte,Prescription,Tablet,150 mg,Aurobindo,Respiratory infection,Anticoagulant
Pantoprazole XR 2907,Prescription,Drops,2000 IU,Novartis,Respiratory infection,Supplement
Dolo 500 2908,Prescription,Capsule,375 mg,Cipla,Pain relief,Analgesic
Rosuvastatin Forte 2909,OTC,Cream,400 mg,Aurobindo,Inflammation,Antiprotozoal
Diclofenac 400 SR 2910,Prescription,Injection,400 IU,GlaxoSmithKline,Cold & Cough,Antidepressant
Salbutamol 1000 2911,OTC,Injection,2000 IU,Aurobindo,Depression,Antibiotic
Aspirin 1000 1000,OTC,Syrup,1000 mg,Torrent,Bacterial infection,Antihyperlipidemic
Amoxicillin XR 2913,OTC,Ointment,325 mg,Sanofi,Respiratory infection,Antihyperlipidemic
Diclofenac 200 250,OTC,Ointment,200 mg,GlaxoSmithKline,Infection,Corticosteroid
Pantoprazole 325 500,Prescription,Capsule,325 mg,Abbott,Clot prevention,Diuretic
Clopidogrel 250 2916,Prescription,Syrup,500 mg,Novartis,Edema,Antiplatelet
Calpol 200 50,Prescription,Drops,200 mg,GlaxoSmithKline,Diabetes,Analgesic
Combiflam 400 250,Prescription,Cream,400 mg,Mankind,Inflammation,Supplement
Doxycycline 250 2919,OTC,Ointment,400 mg,Sun Pharma,Throat infection,Corticosteroid
Omeprazole 2000 500,OTC,Drops,2000 IU,Glenmark,Fever,Anticoagulant
Vitamin D3 50 2921,Prescription,Ointment,325 mg,Mankind,Infection,Antihyperlipidemic
Diazepam XR,OTC,Capsule,450 mg,Torrent,Anxiety,Antiprotozoal
Aspirin 50 500,Prescription,Injection,50 mg,Intas,Edema,Diuretic
Hydrochlorothiazide SR 2924,OTC,Injection,375 mg,Cipla,Heartburn,Antihypertensive
Cefixime 100 50,OTC,Ointment,100 mg,Abbott,Heartburn,Antidiabetic
Cefixime 325 SR,Prescription,Injection,325 mg,Sanofi,Edema,Analgesic
Prednisolone Forte 2927,Prescription,Capsule,300 mg,Cipla,Diabetes,Antibiotic
Omeprazole SR 2928,Prescription,Cream,75 mg,Alkem,Hypertension,Supplement
Metoprolol 250 Plus,OTC,Injection,250 mg,Bayer,Inflammation,Supplement
Ibuprofen 500 1000,OTC,Drops,500 mg,Torrent,Skin infection,Analgesic
Ramipril DS 2931,Prescription,Injection,325 mg,Cipla Ltd,Hypertension,Analgesic
Fluoxetine 1000 DS,OTC,Tablet,1000 IU,Torrent,Hypertension,Antacid
Montelukast DS 2933,OTC,Syrup,100 mg,Sun Pharma,Fever,Antibiotic
Amlodipine 125 DS 2934,OTC,Cream,125 mg,Sun Pharma,Heartburn,Antiplatelet
Loratadine 75 1000,OTC,Tablet,75 mg,Alembic,Pain relief,Antacid
Crocin XR 2936,Prescription,Tablet,500 mg,Torrent,Vitamin deficiency,Antihypertensive
Insulin 250 XR,Prescription,Syrup,250 mg,GlaxoSmithKline,Bacterial infection,Analgesic
Ranitidine 50 2938,Prescription,Cream,50 mg,Glenmark,Skin infection,Antacid
Vitamin D3 750 XR,OTC,Tablet,750 mg,Cipla Ltd,Pain relief,Antihyperlipidemic
Hydrochlorothiazide 400 500 2940,OTC,Injection,400 IU,Zydus,Throat infection,Antibiotic
Amlodipine 500 DS,Prescription,Tablet,500 mg,Lupin,Inflammation,Anticoagulant
Furosemide 250 2942,OTC,Injection,250 mg,Lupin,Clot prevention,Diuretic
Amoxicillin DS 2943,OTC,Syrup,1000 IU,Torrent,Depression,Antihistamine
Cefixime 450 1000,Prescription,Drops,450 mg,Mankind,Blood pressure,Antihistamine
Crocin 0.5% DS,OTC,Syrup,0.50%,Dr. Reddy's,Skin infection,Supplement
Ofloxacin 1000 SR,OTC,Tablet,1000 mg,Glenmark,Blood pressure,Diuretic
Becosules 250 2947,OTC,Tablet,1000 mg,Torrent,Fever,Antihyperlipidemic
Levosalbutamol 1000 2948,Prescription,Capsule,200 mg,Merck,Skin infection,Supplement
Omnacortil 600 1000,OTC,Drops,600 IU,GlaxoSmithKline,Pain relief,Antihyperlipidemic
Doxycycline SR 2950,Prescription,Tablet,1000 IU,Abbott,Fever,Corticosteroid
Sertraline 400 500,Prescription,Capsule,400 IU,Cipla,Edema,Corticosteroid
Bisoprolol Forte 2952,Prescription,Injection,200 mg,Bayer,Diabetes,Antibiotic
Hydrochlorothiazide 400 1000,Prescription,Drops,400 mg,Novartis,Skin infection,Antihypertensive
Paracetamol 50 2954,OTC,Tablet,750 mg,Sun Pharma,Hypertension,Anxiolytic
Ramipril Plus 2955,Prescription,Capsule,375 mg,Sun Pharma,Respiratory infection,Anxiolytic
Ofloxacin 500 2956,OTC,Ointment,2000 IU,Cipla Ltd,Throat infection,Antiprotozoal
Losartan 1000 50 2957,Prescription,Drops,1000 mg,Cipla Ltd,Throat infection,Antihistamine
Gentamicin 750 250,OTC,Cream,750 mg,Cipla Ltd,Skin infection,Antiplatelet
Ramipril 325 Forte,Prescription,Capsule,325 mg,Dr. Reddy's,Anxiety,Antihyperlipidemic
Naproxen 450 250,Prescription,Cream,450 mg,Torrent,Allergy,Antihyperlipidemic
Bisoprolol 325 XR,OTC,Injection,325 mg,Cipla,Respiratory infection,Anxiolytic
Calpol 650 500,OTC,Syrup,650 mg,Merck,Inflammation,Antibiotic
Atorvastatin 125 DS,Prescription,Drops,125 mg,Mankind,Throat infection,Analgesic
Ibuprofen 500 1000 2964,OTC,Drops,500 mg,Alkem,Edema,Antiprotozoal
Levofloxacin 250 50,Prescription,Cream,250 mg,Novartis,Heartburn,Antihistamine
Aspirin 125 XR,Prescription,Injection,125 mg,Intas,Infection,Diuretic
Zincovit 250,Prescription,Ointment,650 mg,Alembic,Immunity booster,Corticosteroid
Pantoprazole 2968,Prescription,Drops,400 IU,Mankind,Throat infection,Supplement
Clopidogrel 150 SR 2969,Prescription,Syrup,150 mg,Intas,Allergy,Anxiolytic
Aspirin SR 2970,OTC,Tablet,75 mg,Aurobindo,Skin infection,Antidepressant
Azithromycin XR 2971,Prescription,Tablet,500 mg,Intas,Fever,Antiplatelet
Gentamicin 150 DS 2972,OTC,Injection,150 mg,Torrent,Pain relief,Antiprotozoal
Cefixime Forte 2973,OTC,Injection,1%,Cipla Ltd,Heartburn,Corticosteroid
Paracetamol XR 2974,OTC,Cream,400 IU,Cipla Ltd,Inflammation,Antihypertensive
Metformin 1000 2975,Prescription,Ointment,125 mg,Aurobindo,Pain relief,Antihyperlipidemic
Insulin 325 Forte,OTC,Cream,325 mg,Sun Pharma,Cold & Cough,Anxiolytic
Dolo 2%,Prescription,Injection,2%,Pfizer,Infection,Antihypertensive
Gentamicin 50 250,OTC,Capsule,50 mg,Mankind,Throat infection,Antiplatelet
Metformin 60000 DS 2979,Prescription,Drops,60000 IU,Alkem,Edema,Diuretic
Paracetamol 600 DS 2980,OTC,Tablet,600 IU,GlaxoSmithKline,Blood pressure,Antihypertensive
Naproxen 650 Forte,OTC,Cream,650 mg,Bayer,Cold & Cough,Antiplatelet
Calpol SR 2982,OTC,Drops,125 mg,Pfizer,Cold & Cough,Antihypertensive
Furosemide 250 2983,OTC,Injection,450 mg,Merck,Throat infection,Antidiabetic
Diclofenac 1000 XR,OTC,Drops,1000 mg,Novartis,Blood pressure,Corticosteroid
Pantoprazole 300 Forte,Prescription,Tablet,300 mg,Lupin,Skin infection,Antiprotozoal
Gentamicin 500 SR,OTC,Capsule,500 mg,Pfizer,Throat infection,Supplement
Vitamin D3 60000 1000,OTC,Injection,60000 IU,Sanofi,Infection,Supplement
Metoprolol 50 DS,OTC,Ointment,50 mg,Glenmark,Inflammation,Antiplatelet
Amlodipine 1000 SR,OTC,Injection,1000 mg,Glenmark,Cold & Cough,Diuretic
Aspirin 250,Prescription,Drops,250 mg,Aurobindo,Fever,Antihistamine
Ibuprofen 1000 XR,Prescription,Tablet,1000 IU,Sanofi,Vitamin deficiency,Antidiabetic
Fluoxetine 50 2992,OTC,Cream,100 mg,GlaxoSmithKline,Skin infection,Antihistamine
Propranolol 750 XR,OTC,Ointment,750 mg,Alembic,Bacterial infection,Supplement
Amoxicillin 2994,OTC,Drops,1000 IU,Cipla Ltd,Allergy,Antacid
Becosules 200 50,Prescription,Cream,200 mg,Merck,Respiratory infection,Antidepressant
B Complex 2996,OTC,Tablet,50 mg,Zydus,Diabetes,Anxiolytic
Hydrochlorothiazide 50 SR 2997,Prescription,Ointment,50 mg,Sun Pharma,Clot prevention,Antacid
Cetirizine 50 50,Prescription,Capsule,50 mg,Dr. Reddy's,Allergy,Antihypertensive
Ramipril Forte,OTC,Injection,250 mg,Dr. Reddy's,Pain relief,Analgesic
Levosalbutamol 500 3000,Prescription,Ointment,50 mg,Dr. Reddy's,Skin infection,Antidepressant
Cefuroxime 750 250,Prescription,Ointment,750 mg,Alembic,Fever,Anxiolytic
Propranolol DS,Prescription,Syrup,100 mg,Sanofi,Cold & Cough,Antihistamine
Telmisartan 1000 250,Prescription,Cream,1000 mg,Merck,Heartburn,Antihistamine
Cefixime 450 Plus,Prescription,Drops,450 mg,Lupin,Depression,Supplement
Cefixime 250 3005,Prescription,Syrup,60000 IU,Novartis,Heartburn,Antidepressant
Amikacin 375 Plus,OTC,Drops,375 mg,GlaxoSmithKline,Blood pressure,Supplement
Salbutamol 2000 SR,Prescription,Ointment,2000 IU,Alembic,Bacterial infection,Antihistamine
Crocin 750 SR,Prescription,Tablet,750 mg,Novartis,Cold & Cough,Antacid
Crocin SR 3009,OTC,Drops,650 mg,Alkem,Anxiety,Antihypertensive
Enalapril 2% 250,OTC,Syrup,2%,Cipla,Anxiety,Antihistamine
Propranolol 75,Prescription,Injection,75 mg,Bayer,Allergy,Anxiolytic
Metoprolol 250 3012,OTC,Cream,250 mg,Sun Pharma,Edema,Antidiabetic
Dolo 60000 500,Prescription,Drops,60000 IU,Cipla,Immunity booster,Antiplatelet
Simvastatin 150,Prescription,Tablet,150 mg,GlaxoSmithKline,Pain relief,Antidepressant
Omeprazole 400 3015,OTC,Cream,400 mg,Zydus,Anxiety,Antihypertensive
Levofloxacin Forte 3016,Prescription,Ointment,600 IU,Abbott,Immunity booster,Corticosteroid
Aspirin 1000 50 3017,OTC,Tablet,1000 IU,Mankind,Immunity booster,Antidepressant
Clarithromycin 200 50,OTC,Injection,200 mg,Alkem,Hypertension,Antiplatelet
Vitamin C 1000 250,OTC,Cream,1000 IU,GlaxoSmithKline,Clot prevention,Antihypertensive
Insulin 450 Forte,Prescription,Tablet,450 mg,Alkem,Throat infection,Analgesic
Propranolol 400 50 3021,Prescription,Tablet,400 IU,Lupin,Clot prevention,Antidepressant
Telmisartan 450 Plus 3022,OTC,Drops,450 mg,Bayer,Pain relief,Antiprotozoal
Erythromycin 200 250,OTC,Injection,200 mg,Bayer,Heartburn,Antihypertensive
Vitamin D3 Plus 3024,Prescription,Ointment,150 mg,Merck,Respiratory infection,Supplement
Loratadine SR,OTC,Ointment,325 mg,Pfizer,Fever,Antiplatelet
Zincovit 750 1000,OTC,Cream,750 mg,Cipla Ltd,Pain relief,Supplement
Diazepam 650 Forte,OTC,Cream,650 mg,Cipla Ltd,Vitamin deficiency,Antibiotic
Vitamin C 1% 500 3028,Prescription,Drops,1%,Cipla Ltd,Inflammation,Antiplatelet
Pantoprazole 2000 SR,OTC,Capsule,2000 IU,Torrent,Depression,Corticosteroid
Dolo 1000 3030,Prescription,Cream,60000 IU,GlaxoSmithKline,Infection,Antidepressant
Calpol SR 3031,OTC,Injection,450 mg,Alembic,Respiratory infection,Analgesic
Ramipril 300 SR,Prescription,Capsule,300 mg,Merck,Respiratory infection,Corticosteroid
Clopidogrel 500 3033,OTC,Tablet,200 mg,Glenmark,Anxiety,Anticoagulant
Ibuprofen Plus 3034,OTC,Drops,250 mg,Alembic,Immunity booster,Supplement
Hydrochlorothiazide 50 3035,OTC,Drops,100 mg,Intas,Clot prevention,Antidiabetic
Losartan 650 XR,OTC,Drops,650 mg,Bayer,Cold & Cough,Antihyperlipidemic
Metronidazole 2000 DS,OTC,Cream,2000 IU,Zydus,Throat infection,Antihyperlipidemic
Naproxen 50 3038,Prescription,Capsule,75 mg,Cipla Ltd,Hypertension,Antihyperlipidemic
Amlodipine 500 50 3039,OTC,Ointment,500 mg,Glenmark,Edema,Antihypertensive
Naproxen 1000 500,OTC,Syrup,1000 mg,Mankind,Inflammation,Antiplatelet
Naproxen 500 3041,Prescription,Ointment,750 mg,Cipla Ltd,Cold & Cough,Diuretic
Loratadine 250 XR,Prescription,Syrup,250 mg,Sun Pharma,Fever,Corticosteroid
Levocetirizine 3043,OTC,Cream,500 mg,Merck,Blood pressure,Anticoagulant
Amoxicillin Forte 3044,OTC,Capsule,375 mg,Cipla Ltd,Vitamin deficiency,Antiplatelet
Prednisolone 75 500,OTC,Syrup,75 mg,Cipla,Cold & Cough,Corticosteroid
Loratadine Forte 3046,Prescription,Drops,750 mg,Lupin,Blood pressure,Anxiolytic
Loratadine 650 SR,OTC,Tablet,650 mg,Lupin,Immunity booster,Diuretic
Fluoxetine 100 SR 3048,Prescription,Tablet,100 mg,Abbott,Immunity booster,Antacid
Metronidazole 375,OTC,Tablet,375 mg,Abbott,Blood pressure,Antidepressant
Fluoxetine 300 SR,OTC,Drops,300 mg,Lupin,Skin infection,Antiplatelet
Losartan 50 250,OTC,Drops,50 mg,Merck,Immunity booster,Anxiolytic
Metronidazole 50 3052,Prescription,Injection,375 mg,Dr. Reddy's,Pain relief,Analgesic
Ibuprofen DS 3053,OTC,Ointment,325 mg,Sun Pharma,Clot prevention,Antiprotozoal
Paracetamol 300 500,Prescription,Ointment,300 mg,Cipla,Blood pressure,Diuretic
Hydralazine 250 DS,Prescription,Tablet,250 mg,Zydus,Inflammation,Corticosteroid
Atorvastatin 375 50,Prescription,Injection,375 mg,Cipla Ltd,Clot prevention,Antihyperlipidemic
Montelukast 250 3057,OTC,Injection,500 mg,Pfizer,Clot prevention,Antibiotic
Crocin 500 3058,Prescription,Ointment,125 mg,Mankind,Throat infection,Antihypertensive
Omnacortil DS,Prescription,Ointment,150 mg,Bayer,Blood pressure,Antihypertensive
Rosuvastatin 1000,OTC,Capsule,1000 mg,Aurobindo,Bacterial infection,Antidiabetic
Amikacin 400 Plus 3061,OTC,Capsule,400 IU,Alembic,Skin infection,Antibiotic
Combiflam 2000 Plus,Prescription,Capsule,2000 IU,Torrent,Fever,Antacid
Rosuvastatin 750 XR 3063,OTC,Drops,750 mg,Alembic,Allergy,Antidepressant
Ofloxacin 375 XR 3064,OTC,Cream,375 mg,Sanofi,Blood pressure,Anxiolytic
Hydrocortisone 2000 Forte,OTC,Ointment,2000 IU,Alkem,Skin infection,Antihistamine
Metronidazole 1% 1000,Prescription,Tablet,1%,Torrent,Skin infection,Antiplatelet
Fluoxetine 325 Forte,Prescription,Drops,325 mg,Cipla Ltd,Immunity booster,Supplement
Loratadine Forte 3068,OTC,Drops,100 mg,Mankind,Cold & Cough,Antibiotic
Ofloxacin 75 SR,OTC,Syrup,75 mg,Lupin,Pain relief,Antiprotozoal
Zincovit 150,OTC,Cream,150 mg,Bayer,Allergy,Antihyperlipidemic
Warfarin 125 SR 3071,OTC,Tablet,125 mg,Aurobindo,Diabetes,Antidiabetic
Diclofenac 50 3072,Prescription,Syrup,500 mg,Bayer,Bacterial infection,Anticoagulant
Loratadine 1000 3073,Prescription,Cream,1000 mg,Cipla Ltd,Pain relief,Antihistamine
Cetirizine 125 SR,Prescription,Ointment,125 mg,Glenmark,Throat infection,Antihistamine
Insulin XR 3075,OTC,Injection,125 mg,Lupin,Clot prevention,Antihypertensive
Salbutamol 300 DS,Prescription,Capsule,300 mg,Zydus,Allergy,Anticoagulant
B Complex DS 3077,Prescription,Tablet,2000 IU,Pfizer,Cold & Cough,Antacid
Hydralazine 100 250,OTC,Cream,100 mg,Intas,Inflammation,Antiprotozoal
Omnacortil 3079,OTC,Ointment,200 mg,Torrent,Fever,Antidiabetic
Metformin 1% 250,OTC,Tablet,1%,Sanofi,Immunity booster,Corticosteroid
Rabeprazole Forte,OTC,Tablet,125 mg,Merck,Cold & Cough,Diuretic
Insulin DS,OTC,Syrup,75 mg,Cipla Ltd,Pain relief,Antihypertensive
Furosemide 375 SR,Prescription,Cream,375 mg,Abbott,Vitamin deficiency,Anxiolytic
Hydrocortisone 125 Forte,Prescription,Drops,125 mg,Torrent,Cold & Cough,Antidepressant
Pantoprazole 1000 SR 3085,Prescription,Tablet,1000 IU,Cipla Ltd,Allergy,Antihistamine
Fluoxetine XR 3086,Prescription,Capsule,325 mg,Zydus,Allergy,Anxiolytic
Ranitidine 250 3087,Prescription,Capsule,400 IU,Intas,Cold & Cough,Antacid
Clarithromycin Plus 3088,Prescription,Syrup,250 mg,Abbott,Diabetes,Antihistamine
Metronidazole 300 Forte,Prescription,Cream,300 mg,Sanofi,Bacterial infection,Antidepressant
Amikacin DS 3090,Prescription,Drops,75 mg,Alembic,Respiratory infection,Antiprotozoal
Levosalbutamol 50 3091,OTC,Cream,150 mg,Cipla Ltd,Cold & Cough,Diuretic
Levocetirizine 250 XR,OTC,Injection,250 mg,Sanofi,Bacterial infection,Antibiotic
Metformin 1000 Forte,Prescription,Injection,1000 mg,Cipla,Clot prevention,Anxiolytic
Omeprazole XR 3094,OTC,Drops,300 mg,Dr. Reddy's,Anxiety,Antihyperlipidemic
Cefixime 325 SR 3095,OTC,Ointment,325 mg,Sun Pharma,Throat infection,Antidepressant
Valsartan 300 Forte,Prescription,Tablet,300 mg,Zydus,Blood pressure,Antibiotic
Cefixime 200 Plus 3097,Prescription,Capsule,200 mg,Cipla,Allergy,Anxiolytic
Becosules 1000 Forte,Prescription,Injection,1000 IU,Pfizer,Respiratory infection,Anxiolytic
Telmisartan XR,Prescription,Injection,650 mg,Alkem,Fever,Anticoagulant
Propranolol 375 50,OTC,Cream,375 mg,Aurobindo,Cold & Cough,Anxiolytic
Metformin 400 Forte,OTC,Syrup,400 mg,Glenmark,Infection,Antidepressant
Salbutamol 200 50,OTC,Drops,200 mg,Lupin,Fever,Antidepressant
Ranitidine 325 DS,OTC,Tablet,325 mg,Dr. Reddy's,Immunity booster,Antidiabetic
Metronidazole 650 250,OTC,Cream,650 mg,GlaxoSmithKline,Immunity booster,Antihypertensive
Sertraline 325 250,OTC,Drops,325 mg,Aurobindo,Heartburn,Anticoagulant
Naproxen 3106,Prescription,Capsule,600 IU,Alkem,Hypertension,Antacid
Paracetamol 200 250,OTC,Syrup,200 mg,Pfizer,Heartburn,Antihypertensive
Propranolol Plus 3108,Prescription,Capsule,300 mg,Merck,Respiratory infection,Antibiotic
Rosuvastatin 1000 3109,Prescription,Ointment,325 mg,GlaxoSmithKline,Anxiety,Antihyperlipidemic
Calpol 200 Forte,OTC,Cream,200 mg,Glenmark,Vitamin deficiency,Analgesic
Vitamin D3 50 Plus,Prescription,Capsule,50 mg,Aurobindo,Bacterial infection,Corticosteroid
Montelukast DS 3112,OTC,Capsule,1000 mg,Intas,Throat infection,Corticosteroid
Telmisartan 2000 50,OTC,Syrup,2000 IU,Cipla Ltd,Diabetes,Diuretic
Enalapril 75 500,OTC,Ointment,75 mg,Aurobindo,Bacterial infection,Antihypertensive
Paracetamol 400 3115,Prescription,Capsule,400 mg,Alkem,Anxiety,Anxiolytic
Loratadine 500 50,Prescription,Injection,500 mg,Bayer,Inflammation,Antiplatelet
Montelukast 50 50,OTC,Injection,50 mg,Cipla,Throat infection,Anticoagulant
Azithromycin 60000 XR,OTC,Tablet,60000 IU,Cipla,Heartburn,Corticosteroid
Insulin 2000 Plus,Prescription,Injection,2000 IU,GlaxoSmithKline,Throat infection,Supplement
Loratadine 400 DS 3120,Prescription,Tablet,400 mg,Zydus,Skin infection,Antidiabetic
Ofloxacin 200 Plus 3121,OTC,Syrup,200 mg,Cipla Ltd,Throat infection,Anticoagulant
Insulin 325 DS,OTC,Drops,325 mg,Glenmark,Throat infection,Supplement
Ramipril 600 50,Prescription,Tablet,600 IU,Mankind,Depression,Antiprotozoal
Levocetirizine 1000 3124,OTC,Syrup,1000 mg,Bayer,Diabetes,Antacid
Pantoprazole 1000 3125,OTC,Cream,1000 IU,Glenmark,Clot prevention,Supplement
Amikacin 375 SR 3126,OTC,Drops,375 mg,Pfizer,Immunity booster,Antiplatelet
Cefixime Plus 3127,OTC,Drops,650 mg,Sanofi,Heartburn,Antihistamine
Warfarin 100 DS 3128,OTC,Ointment,100 mg,Mankind,Edema,Antiplatelet
Diazepam 250 3129,OTC,Tablet,100 mg,Alembic,Bacterial infection,Diuretic
Clopidogrel 2000 SR,Prescription,Ointment,2000 IU,Merck,Pain relief,Antiprotozoal
Ciprofloxacin 150 250,OTC,Drops,150 mg,Pfizer,Heartburn,Antacid
Combiflam 325 Plus,Prescription,Drops,325 mg,Abbott,Immunity booster,Antibiotic
Sertraline 150 XR,Prescription,Injection,150 mg,Pfizer,Infection,Antidiabetic
Cefuroxime,Prescription,Syrup,300 mg,Alkem,Respiratory infection,Antidiabetic
B Complex 250 3135,Prescription,Capsule,650 mg,Sanofi,Edema,Antiplatelet
Doxycycline,Prescription,Ointment,1000 mg,Merck,Respiratory infection,Anticoagulant
Becosules Plus 3137,Prescription,Capsule,375 mg,Intas,Respiratory infection,Diuretic
Ranitidine 500 3138,OTC,Ointment,325 mg,Abbott,Clot prevention,Supplement
B Complex 375 250,OTC,Tablet,375 mg,Merck,Throat infection,Antidiabetic
Clarithromycin 750 XR 3140,Prescription,Tablet,750 mg,Lupin,Vitamin deficiency,Corticosteroid
Furosemide 250 Forte 3141,OTC,Ointment,250 mg,Sun Pharma,Pain relief,Anticoagulant
Ramipril 650 Plus,Prescription,Drops,650 mg,Novartis,Hypertension,Antihypertensive
Amikacin 400 Plus 3143,Prescription,Drops,400 mg,Pfizer,Respiratory infection,Antihypertensive
Levofloxacin SR 3144,Prescription,Tablet,600 IU,Cipla,Pain relief,Antacid
B Complex 3145,OTC,Tablet,60000 IU,Abbott,Anxiety,Anticoagulant
Erythromycin 400 DS,Prescription,Ointment,400 IU,Glenmark,Infection,Antibiotic
Fluoxetine 400 XR 3147,Prescription,Ointment,400 mg,Alkem,Skin infection,Supplement
Metformin 1000 Plus,OTC,Cream,1000 mg,Pfizer,Bacterial infection,Antidiabetic
Ofloxacin 3149,Prescription,Injection,750 mg,Sanofi,Blood pressure,Antiprotozoal
Pantoprazole 50 3150,Prescription,Injection,450 mg,Glenmark,Cold & Cough,Anticoagulant
Clopidogrel 100 3151,OTC,Drops,100 mg,Abbott,Immunity booster,Analgesic
Loratadine 200 SR,Prescription,Ointment,200 mg,Cipla,Vitamin deficiency,Antacid
Bisoprolol 650 500,OTC,Tablet,650 mg,Alkem,Pain relief,Antihistamine
Metformin 60000 Forte,OTC,Syrup,60000 IU,Merck,Anxiety,Antidiabetic
Enalapril 100 Forte,Prescription,Capsule,100 mg,Alkem,Edema,Antacid
Enalapril 400 Plus,Prescription,Syrup,400 IU,Zydus,Fever,Antiprotozoal
Telmisartan SR 3157,Prescription,Drops,600 IU,Abbott,Respiratory infection,Antibiotic
Sertraline 1000 250,OTC,Capsule,1000 mg,Lupin,Heartburn,Antiprotozoal
Clopidogrel 250 XR,Prescription,Cream,250 mg,GlaxoSmithKline,Heartburn,Antacid
Telmisartan 100 250,Prescription,Drops,100 mg,Dr. Reddy's,Diabetes,Antidiabetic
Fluoxetine 50 3161,Prescription,Drops,75 mg,Lupin,Allergy,Antiplatelet
Rabeprazole 125 250,Prescription,Ointment,125 mg,Cipla Ltd,Allergy,Antihypertensive
Sertraline 0.5% Forte,Prescription,Cream,0.50%,Intas,Infection,Antiplatelet
Telmisartan 3164,OTC,Ointment,250 mg,Alkem,Skin infection,Antihypertensive
Zincovit 200 SR,OTC,Tablet,200 mg,Cipla Ltd,Respiratory infection,Anticoagulant
B Complex Forte 3166,OTC,Capsule,0.50%,Lupin,Bacterial infection,Antihistamine
Pantoprazole 1000 500,OTC,Syrup,1000 IU,Sanofi,Infection,Antihypertensive
Crocin 450 XR,OTC,Tablet,450 mg,Glenmark,Immunity booster,Analgesic
Ranitidine 1000 3169,Prescription,Cream,1000 IU,Lupin,Diabetes,Antiprotozoal
Azithromycin 2% 50 3170,Prescription,Drops,2%,Glenmark,Vitamin deficiency,Antidiabetic
Hydrocortisone 375 250 3171,Prescription,Tablet,375 mg,Aurobindo,Allergy,Anticoagulant
Omnacortil 325 XR,OTC,Injection,325 mg,Alembic,Infection,Antiprotozoal
Montelukast XR 3173,Prescription,Drops,125 mg,Sanofi,Cold & Cough,Antibiotic
Ibuprofen 3174,OTC,Drops,60000 IU,Alkem,Hypertension,Corticosteroid
Amikacin 150 XR,OTC,Capsule,150 mg,Lupin,Clot prevention,Antihistamine
Simvastatin 250 3176,Prescription,Capsule,500 mg,Cipla,Bacterial infection,Antihypertensive
Salbutamol Plus,OTC,Syrup,100 mg,Intas,Immunity booster,Antihyperlipidemic
Ofloxacin 150 DS,Prescription,Tablet,150 mg,Torrent,Allergy,Antihyperlipidemic
Ibuprofen 2%,Prescription,Cream,2%,Glenmark,Cold & Cough,Antidiabetic
Amikacin 250 SR 3180,OTC,Capsule,250 mg,Cipla Ltd,Respiratory infection,Antibiotic
Calpol 75 DS,OTC,Drops,75 mg,Mankind,Bacterial infection,Supplement
Ibuprofen 50 250,OTC,Syrup,50 mg,Cipla,Throat infection,Corticosteroid
Clarithromycin 1000 Plus,Prescription,Drops,1000 IU,Cipla Ltd,Vitamin deficiency,Analgesic
Cefuroxime 50 3184,Prescription,Injection,100 mg,Sanofi,Depression,Antihypertensive
Amoxicillin XR 3185,Prescription,Injection,1000 IU,Mankind,Immunity booster,Antiplatelet
Fluoxetine 500 3186,Prescription,Syrup,750 mg,Pfizer,Cold & Cough,Anticoagulant
Bisoprolol Forte 3187,OTC,Injection,500 mg,Mankind,Hypertension,Diuretic
Omnacortil 3188,OTC,Cream,400 IU,Sanofi,Fever,Antiprotozoal
Becosules 500 3189,Prescription,Tablet,1000 IU,Intas,Cold & Cough,Analgesic
Ciprofloxacin 400 1000,Prescription,Ointment,400 mg,Novartis,Inflammation,Corticosteroid
Erythromycin DS 3191,Prescription,Syrup,200 mg,Lupin,Inflammation,Anxiolytic
Erythromycin XR 3192,OTC,Syrup,75 mg,Bayer,Hypertension,Antiplatelet
Crocin 50 3193,Prescription,Injection,100 mg,Torrent,Pain relief,Diuretic
Diazepam DS 3194,Prescription,Injection,150 mg,Cipla,Blood pressure,Antacid
Enalapril 1000 3195,Prescription,Ointment,500 mg,Glenmark,Skin infection,Anxiolytic
Ofloxacin 200 SR,OTC,Ointment,200 mg,Dr. Reddy's,Bacterial infection,Antiprotozoal
Cetirizine 400 1000,OTC,Capsule,400 IU,GlaxoSmithKline,Heartburn,Analgesic
Vitamin C 650 1000,Prescription,Drops,650 mg,Pfizer,Clot prevention,Antiprotozoal
Hydrocortisone 500 500,OTC,Injection,500 mg,Alkem,Depression,Anticoagulant
Doxycycline 150 50,Prescription,Drops,150 mg,Torrent,Infection,Antidiabetic
Doxycycline 400 DS,OTC,Cream,400 mg,Cipla Ltd,Clot prevention,Antacid
Sertraline 500 3202,OTC,Drops,0.50%,Alembic,Bacterial infection,Supplement
Naproxen SR,OTC,Ointment,400 mg,Cipla Ltd,Cold & Cough,Antidiabetic
Vitamin C Plus 3204,Prescription,Ointment,325 mg,Glenmark,Infection,Corticosteroid
Clarithromycin 250,Prescription,Cream,125 mg,Cipla Ltd,Throat infection,Antihypertensive
Simvastatin 400,OTC,Syrup,400 IU,Novartis,Allergy,Analgesic
Bisoprolol XR,OTC,Ointment,250 mg,Glenmark,Inflammation,Antidiabetic
Cefixime 325 SR 3208,Prescription,Ointment,325 mg,Aurobindo,Heartburn,Antacid
